Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1836,GB,?,,,"Majunga, Quilimane",,John Studdy Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,A. R. Tucker,Higgins,Dartmouth,Johanna,,,http://images.mysticseaport.org/images/wsl/18581026.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,US,A. R. Tucker,Daniel Ricketson,New Bedford,Saint Augustin Bay,,NBWM 22,,,Saint Augustin Bay,20-Oct,31-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Abigail,Smith,New Bedford,"Saint Augustin Bay, Tulear Bay",whaling,Mystic Seaport,"NBWM 137, http://images.mysticseaport.org/images/wsl/18570825.pdf; http://images.mysticseaport.org/images/wsl/18571229.pdf",,Saint Augustine Bay,"April 13, 1857",,,,,Augustine BAy,"SEptember 17, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Acasta,Havens,Sag Harbor,"Saint Augustine Bay, Mauritius",whaling,,"NARA reel 2, http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf",,Saint Augustine Bay,08-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Accorcia,,Fairhaven,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,UK?,Acorn,William Adams,,"Majunga, Tamatave",disagreement iwth the gov at Majunga,John Study Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Acorn,Puffer,Providencetown,Johanna,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Active,Morrison,New Bedford,Mauritius,whaling,,http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560129.pdf,to cruise off Madagascar and then home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Addison,Thomas West,New Bedford,Mauritius,whaling,"Lilly Library, Indiana University",NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,?,Adorant,Mattory,Sontinton?,Mauritius,whaling,,NARA reel 1,,Passindava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Aeronaut,West,Mystic,St Augustine Bay,whaling,"Logs/Journals in the Long Island Collection, East Hampton Library, East Hampton, NY.",http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf,,Saint Augustine Bay,17-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Afton,Archer,New Bedford,"Johanna, Zanzibar",whaling,,http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560304.pdf; http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550828.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Albion,,Fairhaven,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Albion,Austin Smith,Fairhaven,Mauritius,whaling,Mystic Seaport Museum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,French?,Alexandre,,,"Mauritius, Saint Augustine Bay",,,http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520323.pdf,saved the crew of Junius,Saint Augustine BAy,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Hamburg,Alf,,Bremen,Zanzibar,,,NEM 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Almira,Crosby,Edgartown,"Mauritius, Saint Augustine Bay",whaling,,http://images.mysticseaport.org/images/wsl/18580406.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561118.pdf;NBWM 137,,saint augustine Bay,"September 17, 1857",,,,,Tulear ,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Alpha,Joseph Congdon,Nantucket,Madagascar ,whaling,Nantucket Historical association ,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Alto,West,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460908.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Alto,Lakeman,New Bedford,"Saint Augustine Bay, Anjouan, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500319.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480905.pdf,,Saint Augustine Bay,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Alto,Carr,NEw Bedford,"Johanna, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530301.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Alto,Angeles Snell,New Bedford,"Anjouan, Dalrymple Bay, Nosy Be, Saint Augustin Bay",whaling,NBWM 14,,,Dalyrmple Bay,06-Jul,16-Jul,wood and water,,Saint Augustin Bay,25-Apr,04-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,US,Amanda,L. Cross,New Bedford,"Mauritius, Seychelles",whaling,New Bedford Whaling Museum,NARA reel 1,complained of treatment at Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,America,E. Gifford,,Mauritius,whaling,Old Darthmouth Historical society,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,America,Simmons,Bristol,Mauritius,whaling,Kendall Whaling Museum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,America,Eastham,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Amethyst,,,Saint Augustine Bay,whaling,,NBWM 339,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,US,Andrew Hicks,Edward E. Hicks,"Westport, MA","Madagascar, Anjouan",whaling,New Bedford museum library - in catalog / RP,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,US,Ann,Charles MIllet,Salem,"Anjouan, Lindy River, Lamu, Brava","corn, rice, ivory","Essex Institute, log and East India Marine Society journal","NEM: 147; Northway, 124",took grain to Mocha from Zanzibar and Lamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Ann,Millet,Salem,"Zanzibar, Mombasa, Barawa, Anjouan, Mocha",,"Essex Institute log, invoices, sales records","Northway, 149",grain for Mocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Ann Maria,Josiah Chester,New London,Saint Augustin Bay,whaling,Mystic / Penobscot Marine Museum,,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Ann Maria,Nathan Middleton,New London,Saint Augustin Bay,whaling,"Mystic, New Bedford whaling musuem",NBWM ODHS 880,,Port Choiseuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Ann Maria,Carr,Fall River,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450304.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Ann Parry,Dennette,Salem,"Saint Augustine Bay, Macamba Bay, Nosy Be",whaling,Pe Log 489,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430704.pdf,sailed from Saint Augustine Bay,Saint Augustine Bay,March,13-Mar,,,,Nosy Be,10-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Ann Parry,Dennette; Abial P. Perry,Portsmouth,"Nosy Be, Zanzibar, Mauritius, Seychelles",whaling,PEM,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461103.pdf,capt got sick and Perry took over in Zanzibar,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Ann Perry,Swain,Portsmouth,"Madagascar, Mauritius",whaling,,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Appollo,Thurston,Baltimore,Mauritius,,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Arab,Benjamin Cushman,Fairhaven,Indian Ocean?,whaling,Old Darthmouth Historical society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Arab,Ephraim Harding,Fairhaven,"Saint Augustine Bay, Nosy Be",whaling,New Bedford whaling museum,"http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf",,Saint Augustine Bay,08-May,,,,,Nosy Be,10-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Arab,Samuel Tripp Braley,Fairhaven,"Nosy Be, Zanzibar ",whaling,NBWM 259,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,Nosy Be,29-May,17-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,French?,Arabe de Bordeaux,Azevedo and Graca,,Majunga,had ivory for sale,John Study Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Arabella,J. Bishop,Sag Harbor,Mauritius,whaling,Rogers Memorial Library ,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Arabella,MAxfield,New Bedford,"MAuritius, Anjouan",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500910.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Arabia,John Wallis,Salem,Zanzibar,,,"History of Essex County, 85","off the Cape, brought on the crew of the Aridne from Bombay to Boston but not enough water, entered Table Bay but struck a reef",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Archibald Gracie,,New York,"Cape, Zanzibar, Muscat, Bombay",,,NEM 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Argentine,H B Putnam,Salem,"Nosy Be, Majunga, Zanzibar",,PE Log 703 and 1025,,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,US,Argentine,John L.,Salem,Zanzibar,,PEM ,https://beta.worldcat.org/archivegrid/collection/data/830838526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Armata,Butler,New London,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,US,Arris?,,Boston,Zanzibar,trade in cloves,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,UK,Arrow,,London,ZAnzibar,,,NEM 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Arthur Pickering,,,"Majunga, Nosy Be, Zanzibar",,PE Log 1300,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,US,Asia,Elijah Coffin,Nantucket,Antongil Bay,whaling,Nantucket Historical association ,,,Antongil Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Astrea,Stanwood,Boston,"Mauritius, Batavia",,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,US,Atlanta,John Pond,Salem,"Zanzibar, Muscat, Aden",,"Putnam, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,US,Atlantic,,Salem,Mauritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Atlantic,Hunting Cooper,"Bridgeport, CN",Saint Augustine Bay,whaling,Mystic Seaport Museum,NBWM 411,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Atlantic,Paste,"Bridgeport, CN","Madagascar, Mauritius",whaling,Mystic Seaport Museum,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,US,Atlantic,Benjamin Franklin Wing,New Bedford,"Madagascar, Anjouan",whaling,New Bedford museum library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,US,Atlantic,Benjamin Franklin Wing,New Bedford,"Madagascar, Seychelles, Mauritius",whaling,New Bedford museum library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Atlantic ,,Warren,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US ,Atlas,Gardner,Lynn,"Saint Augustine Bay, Mauritius",whaling,,"NBWM 411, NARA reel 1",,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Augustus,Millet,Salem,Zanzibar,,,"NEM 207, NEM 211",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,US,Aurora,Meek,Salem,Mauritius,delivered Sugar to Salem,,"Brantz journal, LOC; History of Essex County, pg 83; NARA reel 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Australia,W. G. Clough,Salem,"Mauritius, Manila",stopped to fix damages,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Averick,Humphrey Shearman,New Bedford,Saint Augustin Bay,whaling,NBWM 24,,"hostility from the ""indians""",Saint Augustine Bay,07-Apr,21-Apr,provisions,,run aways,Saint Augustin Bay,14-Aug,13-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,US,Avola,Zenas Bourne,New Bedford,Anjouan,,NBWM KWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Badger,Perkins,,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Barclay,John B Briggs,New Bedford,Mauritius,whaling,Kendall Whaling Museum,"NARA reel 1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,French,bark,,,Saint Augustine Bay,,,NBL 51,,Saint Augustine Bay,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
