ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1836,GBR,?,,,"Majunga, Quilimane",,John Studdy Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1858,USA,A. R. Tucker,Higgins,Dartmouth,Johanna,,,http://images.mysticseaport.org/images/wsl/18581026.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1873,USA,A. R. Tucker,Daniel Ricketson,New Bedford,Saint Auguastin Bay,,NBWM 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1857,USA,Abigail,Smith,New Bedford,"Saint Auguastin Bay, Tulear Bay",whaling,Mystic Seaport,"NBWM 137, http://images.mysticseaport.org/images/wsl/18570825.pdf; http://images.mysticseaport.org/images/wsl/18571229.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1843,USA,Acasta,Havens,Sag Harbor,"Saint Auguastine Bay, Maritius",whaling,,"NARA reel 2, http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1841,USA,Accorcia,,Fairhaven,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1839,GBR,Acorn,William Adams,,"Majunga, Tamatave",,John Study Leigh,,disagreement iwth the gov at Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1857,USA,Acorn,Puffer,Providencetown,Johanna,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1855,USA,Active,Morrison,New Bedford,Maritius,whaling,,http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560129.pdf,to cruise off Madagascar and then home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1842,USA,Addison,Thomas West,New Bedford,Maritius,whaling,"Lilly Library, Indiana University",NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1837,?,Adorant,Mattory,Sontinton?,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1844,USA,Aeronaut,West,Mystic,St Auguastine Bay,whaling,"Logs/Journals in the Long Island Collection, East Hampton Library, East Hampton, NY.",http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1855,USA,Afton,Archer,New Bedford,"Johanna, Zanzibar",whaling,,http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560304.pdf; http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550828.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1835,USA,Albion,,Fairhaven,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1839,USA,Albion,AUSAtin Smith,Fairhaven,Maritius,whaling,Mystic Seaport MUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1851,FRA?,Alexandre,,,"Maritius, Saint Auguastine Bay",,,http://http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520323.pdf,saved the crew of JuniUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1845,Hamburg,Alf,,Bremen,Zanzibar,,,NEM 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1856,USA,Almira,Crosby,Edgartown,"Maritius, Saint Auguastine Bay",whaling,,http://images.mysticseaport.org/images/wsl/18580406.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561118.pdf;NBWM 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1838,USA,Alpha,Joseph Congdon,Nantucket,Madagascar ,whaling,Nantucket Historical association ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1846,USA,Alto,West,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460908.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1849,USA,Alto,Lakeman,New Bedford,"Saint Auguastine Bay, Anjouan, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500319.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1852,USA,Alto,Carr,NEw Bedford,"Johanna, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530301.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1854,USA,Alto,Angeles Snell,New Bedford,"Anjouan, Dalrymple Bay, Nosy Be, Saint Auguastin Bay",whaling,NBWM 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1832,USA,Amanda,L. Cross,New Bedford,"Maritius, Seychelles",whaling,New Bedford Whaling MUSAeum,NARA reel 1,complained of treatment at Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1836,USA,America,E. Gifford,,Maritius,whaling,Old Darthmouth Historical society,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1840,USA,America,Simmons,Bristol,Maritius,whaling,Kendall Whaling MUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1845,USA,America,Eastham,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1837,USA,Amethyst,,,Saint Auguastine Bay,whaling,,NBWM 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1877,USA,Andrew Hicks,Edward E. Hicks,"Westport, MA","Madagascar, Anjouan",whaling,New Bedford mUSAeum library - in catalog / RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1826,USA,Ann,Charles MIllet,Salem,"Anjouan, Lindy River, Lamu, Brava","corn, rice, ivory","Essex Institute, log and East India Marine Society journal","NEM: 147; Northway, 124",took grain to Mocha from Zanzibar and Lamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1828,USA,Ann,Millet,Salem,"Zanzibar, Mombasa, Barawa, Anjouan, Mocha",,"Essex Institute log, invoices, sales records","Northway, 149",grain for Mocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1835,USA,Ann Maria,Josiah Chester,New London,Saint Auguastin Bay,whaling,Mystic / Penobscot Marine MUSAeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1837,USA,Ann Maria,Nathan Middleton,New London,Saint Auguastin Bay,whaling,"Mystic, New Bedford whaling mUSAuem",NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1844,USA,Ann Maria,Carr,Fall River,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450304.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
